group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
212,0.0,110.0,110.0,202001092000,3640.25,3
213,0.0,104.5,104.5,202001092100,3570.75,3
214,0.0,102.5,102.5,202001092200,3571.25,3
215,0.0,101.25,101.25,202001092300,3641.5,3
216,0.0,104.5,104.5,202001100000,3592.0,3
217,0.0,103.75,103.75,202001100100,3561.0,3
218,0.0,89.0,89.0,202001100200,3533.5,3
219,0.0,73.75,73.75,202001100300,3497.75,2
220,0.0,62.5,62.5,202001100400,3535.0,2
221,0.0,45.75,45.75,202001100500,3660.25,1
222,8.75,28.75,37.5,202001100600,3744.0,1
223,83.75,19.0,102.75,202001100700,3930.75,3
224,222.0,7.25,229.25,202001100800,4046.25,6
225,334.5,2.0,336.5,202001100900,4169.0,8
226,378.75,1.0,379.75,202001101000,4187.25,9
227,368.5,0.0,368.5,202001101100,4191.5,9
228,294.5,0.0,294.5,202001101200,4118.0,7
229,170.5,0.0,170.5,202001101300,3975.25,4
230,50.0,0.0,50.0,202001101400,3865.5,1
231,1.0,0.75,1.75,202001101500,3806.0,0
232,0.0,4.5,4.5,202001101600,3854.25,0
233,0.0,14.25,14.25,202001101700,3859.5,0
234,0.0,37.0,37.0,202001101800,3834.25,1
235,0.0,43.25,43.25,202001101900,3818.25,1
236,0.0,36.0,36.0,202001102000,3776.0,1
237,0.0,38.0,38.0,202001102100,3682.25,1
238,0.0,85.75,85.75,202001102200,3602.25,2
239,0.0,29.25,29.25,202001102300,3619.0,1
240,0.0,31.25,31.25,202001110000,3577.0,1
241,0.0,55.75,55.75,202001110100,3491.75,2
242,0.0,62.0,62.0,202001110200,3474.5,2
243,0.0,92.0,92.0,202001110300,3550.75,3
244,0.0,125.25,125.25,202001110400,3581.0,3
245,9.5,114.25,123.75,202001110500,3651.5,3
246,46.25,135.5,181.75,202001110600,3667.5,5
247,116.75,158.0,274.75,202001110700,3769.75,7
248,210.0,172.25,382.25,202001110800,3924.75,10
249,288.0,157.75,445.75,202001110900,4074.25,11
250,301.0,163.25,464.25,202001111000,4117.25,11
251,253.75,183.5,437.25,202001111100,4110.25,11
252,183.5,181.0,364.5,202001111200,4058.5,9
253,114.5,169.0,283.5,202001111300,3909.0,7
254,63.75,142.75,206.5,202001111400,3744.75,6
255,17.5,128.25,145.75,202001111500,3704.25,4
256,0.0,124.75,124.75,202001111600,3716.25,3
257,0.0,115.0,115.0,202001111700,3704.0,3
258,0.0,115.75,115.75,202001111800,3696.0,3
259,0.0,125.25,125.25,202001111900,3693.5,3
260,0.0,124.75,124.75,202001112000,3648.75,3
261,0.0,96.25,96.25,202001112100,3665.5,3
262,0.0,67.0,67.0,202001112200,3613.5,2
263,0.0,24.25,24.25,202001112300,3532.0,1
264,0.0,8.0,8.0,202001120000,3521.5,0
265,0.0,1.5,1.5,202001120100,3333.0,0
266,0.0,5.0,5.0,202001120200,3295.5,0
267,0.0,2.25,2.25,202001120300,3297.75,0
268,0.0,0.5,0.5,202001120400,3281.75,0
269,0.0,2.75,2.75,202001120500,3331.75,0
270,6.5,3.75,10.25,202001120600,3482.5,0
271,67.75,8.0,75.75,202001120700,3604.25,2
272,184.75,11.25,196.0,202001120800,3779.25,5
273,285.25,19.0,304.25,202001120900,3875.0,8
274,328.75,29.5,358.25,202001121000,3924.0,9
