,Solar,Wind Onshore,startTime,endTime,totalRenewable,total,percentRenewable
49,9.0,3990.0,202001030100,202001030200,3999.0,23086.0,17
50,8.0,4005.0,202001030200,202001030300,4013.0,22797.0,18
51,9.0,3966.0,202001030300,202001030400,3975.0,22726.0,17
52,8.0,3974.0,202001030400,202001030500,3982.0,22744.0,18
53,8.0,4020.0,202001030500,202001030600,4028.0,23459.0,17
54,8.0,3747.0,202001030600,202001030700,3755.0,23967.0,16
55,46.0,3384.0,202001030700,202001030800,3430.0,25621.0,13
56,712.0,3089.0,202001030800,202001030900,3801.0,27028.0,14
57,1889.0,2626.0,202001030900,202001031000,4515.0,28176.0,16
58,2822.0,2229.0,202001031000,202001031100,5051.0,28370.0,18
59,3360.0,1974.0,202001031100,202001031200,5334.0,28064.0,19
60,3547.0,2212.0,202001031200,202001031300,5759.0,28162.0,20
61,3431.0,2514.0,202001031300,202001031400,5945.0,27969.0,21
62,2951.0,2754.0,202001031400,202001031500,5705.0,27095.0,21
63,2080.0,3205.0,202001031500,202001031600,5285.0,26485.0,20
64,794.0,3717.0,202001031600,202001031700,4511.0,27223.0,17
65,117.0,4344.0,202001031700,202001031800,4461.0,27217.0,16
66,19.0,4587.0,202001031800,202001031900,4606.0,28080.0,16
67,21.0,4781.0,202001031900,202001032000,4802.0,28248.0,17
68,18.0,4929.0,202001032000,202001032100,4947.0,27859.0,18
69,16.0,4857.0,202001032100,202001032200,4873.0,26892.0,18
70,13.0,4797.0,202001032200,202001032300,4810.0,25217.0,19
71,7.0,4304.0,202001032300,202001040000,4311.0,23883.0,18
72,0.0,4312.0,202001040000,202001040100,4312.0,23242.0,19
73,7.0,4277.0,202001040100,202001040200,4284.0,23151.0,19
74,7.0,4412.0,202001040200,202001040300,4419.0,22929.0,19
75,8.0,4495.0,202001040300,202001040400,4503.0,22884.0,20
76,8.0,4800.0,202001040400,202001040500,4808.0,22929.0,21
77,8.0,5003.0,202001040500,202001040600,5011.0,23187.0,22
78,8.0,5071.0,202001040600,202001040700,5079.0,23876.0,21
79,94.0,5011.0,202001040700,202001040800,5105.0,24376.0,21
80,839.0,5060.0,202001040800,202001040900,5899.0,25960.0,23
81,2346.0,4902.0,202001040900,202001041000,7248.0,27853.0,26
82,3593.0,4768.0,202001041000,202001041100,8361.0,28661.0,29
83,4438.0,4783.0,202001041100,202001041200,9221.0,29119.0,32
84,4796.0,4779.0,202001041200,202001041300,9575.0,29136.0,33
85,4720.0,4719.0,202001041300,202001041400,9439.0,28762.0,33
86,4324.0,4621.0,202001041400,202001041500,8945.0,28257.0,32
87,3111.0,4866.0,202001041500,202001041600,7977.0,26955.0,30
88,1327.0,5257.0,202001041600,202001041700,6584.0,26836.0,25
89,239.0,5691.0,202001041700,202001041800,5930.0,26333.0,23
90,29.0,5743.0,202001041800,202001041900,5772.0,26517.0,22
91,30.0,5712.0,202001041900,202001042000,5742.0,26269.0,22
92,24.0,5587.0,202001042000,202001042100,5611.0,26222.0,21
