group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
149,0.0,20.25,20.25,202203150400,127.75,16
150,0.0,16.75,16.75,202203150500,132.75,13
151,1.75,12.0,13.75,202203150600,138.75,10
152,5.5,11.0,16.5,202203150700,127.0,13
153,9.5,12.75,22.25,202203150800,136.25,16
154,13.5,12.0,25.5,202203150900,133.0,19
155,17.25,11.25,28.5,202203151000,115.25,25
156,18.25,9.0,27.25,202203151100,113.75,24
157,18.75,5.75,24.5,202203151200,109.5,22
158,16.0,2.5,18.5,202203151300,111.75,17
159,14.0,1.0,15.0,202203151400,118.5,13
160,11.25,1.0,12.25,202203151500,124.0,10
161,5.0,1.0,6.0,202203151600,154.5,4
162,0.75,1.0,1.75,202203151700,168.25,1
163,0.0,2.0,2.0,202203151800,175.0,1
164,0.0,5.0,5.0,202203151900,180.5,3
165,0.0,9.25,9.25,202203152000,135.0,7
166,0.0,13.0,13.0,202203152100,110.25,12
167,0.0,14.75,14.75,202203152200,109.25,14
168,0.0,16.75,16.75,202203152300,105.25,16
169,0.0,19.0,19.0,202203160000,107.0,18
170,0.0,20.5,20.5,202203160100,118.0,17
171,0.0,22.0,22.0,202203160200,110.0,20
172,0.0,23.5,23.5,202203160300,118.25,20
173,0.0,27.5,27.5,202203160400,160.75,17
174,0.25,33.5,33.75,202203160500,159.5,21
175,14.75,36.25,51.0,202203160600,171.25,30
176,53.0,35.0,88.0,202203160700,170.75,52
177,99.75,29.5,129.25,202203160800,159.75,81
178,142.0,26.5,168.5,202203160900,142.0,119
179,171.0,29.0,200.0,202203161000,149.0,134
180,188.25,29.25,217.5,202203161100,158.75,137
181,188.5,28.25,216.75,202203161200,148.25,146
182,172.0,29.0,201.0,202203161300,143.5,140
183,136.25,30.0,166.25,202203161400,136.0,122
184,88.5,31.0,119.5,202203161500,136.0,88
185,38.25,34.0,72.25,202203161600,145.25,50
186,4.5,39.5,44.0,202203161700,143.5,31
187,0.0,47.5,47.5,202203161800,134.5,35
188,0.0,52.5,52.5,202203161900,127.25,41
189,0.0,55.0,55.0,202203162000,90.25,61
190,0.0,52.75,52.75,202203162100,90.25,58
191,0.0,45.75,45.75,202203162200,97.5,47
192,0.0,33.75,33.75,202203162300,111.5,30
193,0.0,24.5,24.5,202203170000,134.5,18
194,0.0,15.0,15.0,202203170100,142.0,11
195,0.0,9.5,9.5,202203170200,137.5,7
196,0.0,8.0,8.0,202203170300,135.0,6
197,0.0,14.5,14.5,202203170400,181.75,8
198,0.0,32.0,32.0,202203170500,201.25,16
199,4.5,44.0,48.5,202203170600,220.25,22
200,15.0,46.0,61.0,202203170700,226.5,27
201,29.5,48.25,77.75,202203170800,236.5,33
202,45.25,51.0,96.25,202203170900,228.75,42
203,66.5,52.0,118.5,202203171000,224.25,53
204,93.0,49.75,142.75,202203171100,216.75,66
205,129.5,47.25,176.75,202203171200,215.5,82
206,135.75,46.5,182.25,202203171300,207.5,88
207,115.0,48.75,163.75,202203171400,202.0,81
208,78.5,52.25,130.75,202203171500,204.5,64
209,37.0,55.0,92.0,202203171600,203.25,45
210,4.75,53.75,58.5,202203171700,200.75,29
211,0.0,54.75,54.75,202203171800,192.0,29
212,0.0,58.5,58.5,202203171900,187.0,31
213,0.0,60.0,60.0,202203172000,154.0,39
214,0.0,62.0,62.0,202203172100,149.75,41
215,0.0,64.75,64.75,202203172200,129.75,50
216,0.0,57.75,57.75,202203172300,155.0,37
217,0.0,58.0,58.0,202203180000,177.75,33
218,0.0,59.25,59.25,202203180100,159.25,37
219,0.0,60.5,60.5,202203180200,147.25,41
220,0.0,63.0,63.0,202203180300,156.0,40
221,0.0,68.0,68.0,202203180400,194.0,35
222,0.5,73.5,74.0,202203180500,185.0,40
223,25.25,71.25,96.5,202203180600,182.75,53
224,79.25,67.75,147.0,202203180700,173.25,85
225,134.75,59.75,194.5,202203180800,169.25,115
226,176.5,51.0,227.5,202203180900,175.0,130
227,203.0,53.0,256.0,202203181000,195.5,131
228,215.0,53.0,268.0,202203181100,182.25,147
229,211.25,55.0,266.25,202203181200,186.0,143
230,192.5,58.25,250.75,202203181300,184.0,136
231,158.75,65.0,223.75,202203181400,181.75,123
232,107.25,72.25,179.5,202203181500,170.75,105
233,48.75,79.25,128.0,202203181600,160.5,80
234,6.75,82.5,89.25,202203181700,157.5,57
235,0.0,84.75,84.75,202203181800,133.75,63
236,0.0,87.0,87.0,202203181900,124.0,70
237,0.0,88.0,88.0,202203182000,78.5,112
238,0.0,88.0,88.0,202203182100,71.25,124
239,0.0,88.0,88.0,202203182200,73.75,119
240,0.0,92.0,92.0,202203182300,65.75,140
241,0.0,91.0,91.0,202203190000,74.75,122
242,0.0,90.0,90.0,202203190100,78.75,114
243,0.0,90.0,90.0,202203190200,76.5,118
244,0.0,89.0,89.0,202203190300,79.5,112
245,0.0,89.0,89.0,202203190400,114.0,78
246,0.75,88.25,89.0,202203190500,119.75,74
247,26.0,87.25,113.25,202203190600,123.75,92
248,78.75,81.5,160.25,202203190700,128.0,125
249,132.75,71.5,204.25,202203190800,141.25,145
250,174.0,67.5,241.5,202203190900,143.25,169
251,200.25,69.5,269.75,202203191000,137.75,196
252,211.25,71.0,282.25,202203191100,144.5,195
253,208.0,70.25,278.25,202203191200,143.5,194
254,188.5,70.25,258.75,202203191300,145.75,178
255,153.75,73.0,226.75,202203191400,143.0,159
256,104.0,75.5,179.5,202203191500,140.75,128
257,48.5,80.0,128.5,202203191600,156.5,82
258,7.0,83.75,90.75,202203191700,160.75,56
259,0.0,86.25,86.25,202203191800,167.75,51
260,0.0,86.0,86.0,202203191900,176.25,49
261,0.0,86.0,86.0,202203192000,142.5,60
262,0.0,85.0,85.0,202203192100,131.0,65
263,0.0,83.0,83.0,202203192200,128.25,65
264,0.0,72.0,72.0,202203192300,121.5,59
265,0.0,68.0,68.0,202203200000,135.25,50
266,0.0,63.0,63.0,202203200100,137.25,46
267,0.0,59.0,59.0,202203200200,124.5,47
268,0.0,52.75,52.75,202203200300,131.25,40
269,0.0,44.5,44.5,202203200400,172.25,26
270,0.75,37.5,38.25,202203200500,173.5,22
271,22.25,30.5,52.75,202203200600,173.75,30
272,65.75,23.0,88.75,202203200700,173.75,51
273,106.25,17.0,123.25,202203200800,198.0,62
