,Wind Onshore,startTime,totalRenewable,total,percentRenewable
211,6.0,202108271700,6.0,398.0,2
212,12.0,202108271800,12.0,408.0,3
213,15.0,202108271900,15.0,407.0,4
214,15.0,202108272000,15.0,405.0,4
215,14.0,202108272100,14.0,395.0,4
216,16.0,202108272200,16.0,393.0,4
217,15.0,202108272300,15.0,392.0,4
218,13.0,202108280000,13.0,391.0,3
219,13.0,202108280100,13.0,391.0,3
220,10.0,202108280200,10.0,391.0,3
221,7.0,202108280300,7.0,392.0,2
222,6.0,202108280400,6.0,393.0,2
223,4.0,202108280500,4.0,389.0,1
224,2.0,202108280600,2.0,390.0,1
225,1.0,202108280700,1.0,382.0,0
226,0.0,202108280800,0.0,384.0,0
227,0.0,202108280900,0.0,385.0,0
228,0.0,202108281000,0.0,380.0,0
229,1.0,202108281100,1.0,380.0,0
230,1.0,202108281200,1.0,380.0,0
231,1.0,202108281300,1.0,380.0,0
232,1.0,202108281400,1.0,381.0,0
233,1.0,202108281500,1.0,381.0,0
234,2.0,202108281600,2.0,397.0,1
235,5.0,202108281700,5.0,398.0,1
236,6.0,202108281800,6.0,408.0,1
237,6.0,202108281900,6.0,407.0,1
238,6.0,202108282000,6.0,406.0,1
239,5.0,202108282100,5.0,400.0,1
240,5.0,202108282200,5.0,397.0,1
241,5.0,202108282300,5.0,397.0,1
242,5.0,202108290000,5.0,397.0,1
243,6.0,202108290100,6.0,397.0,2
244,7.0,202108290200,7.0,402.0,2
245,11.0,202108290300,11.0,403.0,3
246,13.0,202108290400,13.0,417.0,3
247,13.0,202108290500,13.0,412.0,3
248,10.0,202108290600,10.0,411.0,2
249,7.0,202108290700,7.0,385.0,2
250,5.0,202108290800,5.0,386.0,1
251,4.0,202108290900,4.0,388.0,1
252,4.0,202108291000,4.0,386.0,1
253,4.0,202108291100,4.0,390.0,1
254,5.0,202108291200,5.0,392.0,1
255,8.0,202108291300,8.0,392.0,2
256,13.0,202108291400,13.0,405.0,3
257,15.0,202108291500,15.0,400.0,4
258,16.0,202108291600,16.0,394.0,4
259,19.0,202108291700,19.0,393.0,5
260,20.0,202108291800,20.0,406.0,5
261,19.0,202108291900,19.0,408.0,5
262,17.0,202108292000,17.0,406.0,4
263,15.0,202108292100,15.0,399.0,4
264,13.0,202108292200,13.0,387.0,3
265,11.0,202108292300,11.0,386.0,3
266,9.0,202108300000,9.0,386.0,2
267,9.0,202108300100,9.0,386.0,2
268,8.0,202108300200,8.0,386.0,2
269,6.0,202108300300,6.0,386.0,2
270,4.0,202108300400,4.0,402.0,1
271,3.0,202108300500,3.0,401.0,1
272,3.0,202108300600,3.0,402.0,1
273,3.0,202108300700,3.0,381.0,1
274,2.0,202108300800,2.0,382.0,1
275,2.0,202108300900,2.0,383.0,1
276,2.0,202108301000,2.0,373.0,1
277,1.0,202108301100,1.0,374.0,0
278,1.0,202108301200,1.0,374.0,0
279,2.0,202108301300,2.0,373.0,1
280,2.0,202108301400,2.0,390.0,1
281,4.0,202108301500,4.0,392.0,1
282,7.0,202108301600,7.0,397.0,2
283,11.0,202108301700,11.0,402.0,3
284,12.0,202108301800,12.0,412.0,3
285,10.0,202108301900,10.0,408.0,2
286,8.0,202108302000,8.0,404.0,2
287,6.0,202108302100,6.0,393.0,2
288,4.0,202108302200,4.0,140.0,3
289,2.0,202108302300,2.0,141.0,1
290,1.0,202108310000,1.0,141.0,1
291,1.0,202108310100,1.0,138.0,1
292,1.0,202108310200,1.0,136.0,1
293,1.0,202108310300,1.0,135.0,1
294,1.0,202108310400,1.0,148.0,1
295,1.0,202108310500,1.0,147.0,1
296,1.0,202108310600,1.0,148.0,1
297,1.0,202108310700,1.0,133.0,1
298,1.0,202108310800,1.0,134.0,1
299,1.0,202108310900,1.0,135.0,1
300,0.0,202108311000,0.0,136.0,0
301,1.0,202108311100,1.0,140.0,1
302,1.0,202108311200,1.0,141.0,1
303,1.0,202108311300,1.0,138.0,1
304,3.0,202108311400,3.0,155.0,2
305,8.0,202108311500,8.0,155.0,5
306,14.0,202108311600,14.0,156.0,9
307,18.0,202108311700,18.0,156.0,12
308,19.0,202108311800,19.0,156.0,12
309,18.0,202108311900,18.0,156.0,12
310,16.0,202108312000,16.0,154.0,10
311,15.0,202108312100,15.0,136.0,11
312,14.0,202108312200,14.0,133.0,11
313,15.0,202108312300,15.0,132.0,11
314,15.0,202109010000,15.0,132.0,11
315,14.0,202109010100,14.0,135.0,10
316,11.0,202109010200,11.0,139.0,8
317,9.0,202109010300,9.0,143.0,6
318,9.0,202109010400,9.0,162.0,6
319,10.0,202109010500,10.0,163.0,6
320,11.0,202109010600,11.0,162.0,7
321,10.0,202109010700,10.0,144.0,7
322,6.0,202109010800,6.0,144.0,4
323,4.0,202109010900,4.0,146.0,3
324,5.0,202109011000,5.0,150.0,3
325,7.0,202109011100,7.0,153.0,5
326,11.0,202109011200,11.0,153.0,7
327,13.0,202109011300,13.0,153.0,8
328,16.0,202109011400,16.0,166.0,10
329,19.0,202109011500,19.0,162.0,12
330,22.0,202109011600,22.0,162.0,14
331,26.0,202109011700,26.0,163.0,16
332,27.0,202109011800,27.0,164.0,16
333,26.0,202109011900,26.0,164.0,16
334,23.0,202109012000,23.0,163.0,14
335,20.0,202109012100,20.0,144.0,14
336,22.0,202109012200,22.0,385.0,6
337,21.0,202109012300,21.0,383.0,5
338,19.0,202109020000,19.0,381.0,5
339,17.0,202109020100,17.0,381.0,4
340,16.0,202109020200,16.0,380.0,4
341,16.0,202109020300,16.0,384.0,4
342,14.0,202109020400,14.0,402.0,3
343,12.0,202109020500,12.0,404.0,3
344,14.0,202109020600,14.0,406.0,3
345,15.0,202109020700,15.0,388.0,4
346,15.0,202109020800,15.0,384.0,4
347,13.0,202109020900,13.0,382.0,3
348,11.0,202109021000,11.0,381.0,3
349,10.0,202109021100,10.0,382.0,3
350,12.0,202109021200,12.0,382.0,3
351,15.0,202109021300,15.0,382.0,4
352,18.0,202109021400,18.0,398.0,5
353,19.0,202109021500,19.0,397.0,5
354,19.0,202109021600,19.0,397.0,5
355,20.0,202109021700,20.0,399.0,5
356,21.0,202109021800,21.0,400.0,5
357,21.0,202109021900,21.0,400.0,5
358,21.0,202109022000,21.0,400.0,5
359,19.0,202109022100,19.0,382.0,5
360,14.0,202109022200,14.0,385.0,4
361,12.0,202109022300,12.0,383.0,3
362,10.0,202109030000,10.0,382.0,3
363,9.0,202109030100,9.0,360.0,2
364,7.0,202109030200,7.0,354.0,2
365,5.0,202109030300,5.0,353.0,1
366,3.0,202109030400,3.0,380.0,1
367,2.0,202109030500,2.0,375.0,1
368,2.0,202109030600,2.0,376.0,1
369,2.0,202109030700,2.0,377.0,1
370,1.0,202109030800,1.0,379.0,0
371,1.0,202109030900,1.0,379.0,0
372,1.0,202109031000,1.0,379.0,0
373,1.0,202109031100,1.0,378.0,0
374,1.0,202109031200,1.0,378.0,0
375,2.0,202109031300,2.0,377.0,1
376,2.0,202109031400,2.0,376.0,1
377,5.0,202109031500,5.0,374.0,1
378,10.0,202109031600,10.0,390.0,3
379,13.0,202109031700,13.0,391.0,3
380,12.0,202109031800,12.0,390.0,3
381,10.0,202109031900,10.0,394.0,3
382,8.0,202109032000,8.0,393.0,2
383,7.0,202109032100,7.0,377.0,2
384,9.0,202109032200,9.0,262.0,3
385,8.0,202109032300,8.0,263.0,3
386,6.0,202109040000,6.0,264.0,2
387,5.0,202109040100,5.0,265.0,2
388,4.0,202109040200,4.0,267.0,1
389,3.0,202109040300,3.0,269.0,1
390,2.0,202109040400,2.0,271.0,1
