,Solar,startTime,totalRenewable,total,percentRenewable
191,0.0,202001082300,0.0,1608.0,0
192,0.0,202001090000,0.0,1715.0,0
193,0.0,202001090100,0.0,1559.0,0
194,0.0,202001090200,0.0,1419.0,0
195,0.0,202001090300,0.0,1599.0,0
196,0.0,202001090400,0.0,1632.0,0
197,0.0,202001090500,0.0,1773.0,0
198,0.0,202001090600,0.0,2087.0,0
199,10.0,202001090700,10.0,2083.0,0
200,37.0,202001090800,37.0,2121.0,2
201,62.0,202001090900,62.0,2087.0,3
202,77.0,202001091000,77.0,2048.0,4
203,67.0,202001091100,67.0,2060.0,3
204,64.0,202001091200,64.0,2002.0,3
205,39.0,202001091300,39.0,1914.0,2
206,15.0,202001091400,15.0,1907.0,1
207,1.0,202001091500,1.0,2118.0,0
208,0.0,202001091600,0.0,2138.0,0
209,0.0,202001091700,0.0,2191.0,0
210,0.0,202001091800,0.0,2117.0,0
211,0.0,202001091900,0.0,1969.0,0
212,0.0,202001092000,0.0,1836.0,0
213,0.0,202001092100,0.0,1696.0,0
214,0.0,202001092200,0.0,1579.0,0
215,0.0,202001092300,0.0,1593.0,0
216,0.0,202001100000,0.0,1423.0,0
217,0.0,202001100100,0.0,1306.0,0
218,0.0,202001100200,0.0,1370.0,0
219,0.0,202001100300,0.0,1400.0,0
220,0.0,202001100400,0.0,1573.0,0
221,0.0,202001100500,0.0,1847.0,0
222,0.0,202001100600,0.0,2117.0,0
223,12.0,202001100700,12.0,2123.0,1
224,43.0,202001100800,43.0,2054.0,2
225,66.0,202001100900,66.0,1944.0,3
226,83.0,202001101000,83.0,1898.0,4
227,71.0,202001101100,71.0,1864.0,4
228,67.0,202001101200,67.0,1776.0,4
229,39.0,202001101300,39.0,1924.0,2
230,15.0,202001101400,15.0,1827.0,1
231,1.0,202001101500,1.0,1841.0,0
232,0.0,202001101600,0.0,1473.0,0
233,0.0,202001101700,0.0,1513.0,0
234,0.0,202001101800,0.0,1663.0,0
235,0.0,202001101900,0.0,1493.0,0
236,0.0,202001102000,0.0,1360.0,0
237,0.0,202001102100,0.0,1356.0,0
238,0.0,202001102200,0.0,1274.0,0
239,0.0,202001102300,0.0,1519.0,0
240,0.0,202001110000,0.0,1442.0,0
241,0.0,202001110100,0.0,1219.0,0
242,0.0,202001110200,0.0,1180.0,0
243,0.0,202001110300,0.0,1158.0,0
244,0.0,202001110400,0.0,1246.0,0
245,0.0,202001110500,0.0,1417.0,0
246,0.0,202001110600,0.0,1473.0,0
247,11.0,202001110700,11.0,1588.0,1
248,39.0,202001110800,39.0,1743.0,2
249,63.0,202001110900,63.0,1622.0,4
250,78.0,202001111000,78.0,1606.0,5
251,66.0,202001111100,66.0,1450.0,5
252,67.0,202001111200,67.0,1517.0,4
253,41.0,202001111300,41.0,1551.0,3
254,16.0,202001111400,16.0,1568.0,1
255,1.0,202001111500,1.0,1575.0,0
256,0.0,202001111600,0.0,1756.0,0
257,0.0,202001111700,0.0,1672.0,0
258,0.0,202001111800,0.0,1757.0,0
259,0.0,202001111900,0.0,1593.0,0
260,0.0,202001112000,0.0,1353.0,0
261,0.0,202001112100,0.0,1299.0,0
262,0.0,202001112200,0.0,1183.0,0
263,0.0,202001112300,0.0,1288.0,0
264,0.0,202001120000,0.0,1198.0,0
265,0.0,202001120100,0.0,1194.0,0
266,0.0,202001120200,0.0,1194.0,0
267,0.0,202001120300,0.0,1200.0,0
268,0.0,202001120400,0.0,1205.0,0
269,0.0,202001120500,0.0,1219.0,0
270,0.0,202001120600,0.0,1291.0,0
271,12.0,202001120700,12.0,1395.0,1
272,40.0,202001120800,40.0,1459.0,3
273,65.0,202001120900,65.0,1511.0,4
274,83.0,202001121000,83.0,1502.0,6
275,71.0,202001121100,71.0,1458.0,5
276,68.0,202001121200,68.0,1464.0,5
277,42.0,202001121300,42.0,1452.0,3
278,16.0,202001121400,16.0,1539.0,1
