,Wind Onshore,startTime,totalRenewable,total,percentRenewable
46,34.0,202001022200,34.0,742.0,5
47,17.0,202001022300,17.0,658.0,3
48,17.0,202001030000,17.0,562.0,3
49,17.0,202001030100,17.0,487.0,3
50,17.0,202001030200,17.0,445.0,4
51,17.0,202001030300,17.0,427.0,4
52,17.0,202001030400,17.0,441.0,4
53,17.0,202001030500,17.0,476.0,4
54,17.0,202001030600,17.0,468.0,4
55,17.0,202001030700,17.0,513.0,3
56,17.0,202001030800,17.0,559.0,3
57,17.0,202001030900,17.0,588.0,3
58,17.0,202001031000,17.0,600.0,3
59,17.0,202001031100,17.0,608.0,3
60,17.0,202001031200,17.0,618.0,3
61,17.0,202001031300,17.0,701.0,2
62,17.0,202001031400,17.0,720.0,2
63,17.0,202001031500,17.0,702.0,2
64,17.0,202001031600,17.0,701.0,2
65,17.0,202001031700,17.0,685.0,2
66,17.0,202001031800,17.0,674.0,3
67,15.0,202001031900,15.0,655.0,2
68,15.0,202001032000,15.0,644.0,2
69,15.0,202001032100,15.0,753.0,2
70,14.0,202001032200,14.0,762.0,2
71,31.0,202001032300,31.0,680.0,5
72,31.0,202001040000,31.0,596.0,5
73,30.0,202001040100,30.0,521.0,6
74,30.0,202001040200,30.0,474.0,6
75,30.0,202001040300,30.0,456.0,7
76,30.0,202001040400,30.0,464.0,6
77,31.0,202001040500,31.0,493.0,6
78,31.0,202001040600,31.0,502.0,6
79,30.0,202001040700,30.0,527.0,6
80,31.0,202001040800,31.0,583.0,5
81,31.0,202001040900,31.0,621.0,5
82,31.0,202001041000,31.0,630.0,5
83,31.0,202001041100,31.0,624.0,5
84,31.0,202001041200,31.0,636.0,5
85,31.0,202001041300,31.0,748.0,4
86,31.0,202001041400,31.0,760.0,4
87,31.0,202001041500,31.0,709.0,4
88,30.0,202001041600,30.0,709.0,4
89,31.0,202001041700,31.0,703.0,4
90,31.0,202001041800,31.0,690.0,4
91,31.0,202001041900,31.0,663.0,5
92,31.0,202001042000,31.0,647.0,5
93,31.0,202001042100,31.0,725.0,4
94,31.0,202001042200,31.0,731.0,4
95,11.0,202001042300,11.0,630.0,2
96,11.0,202001050000,11.0,546.0,2
97,11.0,202001050100,11.0,478.0,2
98,11.0,202001050200,11.0,438.0,3
99,11.0,202001050300,11.0,421.0,3
100,11.0,202001050400,11.0,423.0,3
101,11.0,202001050500,11.0,450.0,2
102,11.0,202001050600,11.0,487.0,2
103,11.0,202001050700,11.0,551.0,2
104,11.0,202001050800,11.0,634.0,2
105,11.0,202001050900,11.0,695.0,2
106,11.0,202001051000,11.0,714.0,2
107,11.0,202001051100,11.0,719.0,2
108,11.0,202001051200,11.0,723.0,2
109,11.0,202001051300,11.0,743.0,1
110,11.0,202001051400,11.0,755.0,1
111,11.0,202001051500,11.0,766.0,1
112,11.0,202001051600,11.0,773.0,1
113,11.0,202001051700,11.0,769.0,1
114,11.0,202001051800,11.0,750.0,1
115,11.0,202001051900,11.0,737.0,1
116,10.0,202001052000,10.0,720.0,1
117,10.0,202001052100,10.0,726.0,1
118,11.0,202001052200,11.0,695.0,2
119,12.0,202001052300,12.0,666.0,2
120,12.0,202001060000,12.0,572.0,2
121,12.0,202001060100,12.0,505.0,2
122,12.0,202001060200,12.0,456.0,3
123,12.0,202001060300,12.0,445.0,3
124,12.0,202001060400,12.0,453.0,3
125,12.0,202001060500,12.0,512.0,2
126,12.0,202001060600,12.0,516.0,2
127,12.0,202001060700,12.0,558.0,2
128,12.0,202001060800,12.0,624.0,2
129,12.0,202001060900,12.0,642.0,2
130,12.0,202001061000,12.0,649.0,2
