,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
64,,371.0,,1395.0,15359.0,22.0,,,1820.0,202001031600,202001031700,18574.0,1820.0,393.0,18967.0,98,10
65,,370.0,,1389.0,14774.0,22.0,,,1748.0,202001031700,202001031800,17911.0,1748.0,392.0,18303.0,98,10
66,,371.0,,1384.0,14026.0,23.0,,,1684.0,202001031800,202001031900,17094.0,1684.0,394.0,17488.0,98,10
67,,378.0,,1380.0,12514.0,23.0,,,1713.0,202001031900,202001032000,15607.0,1713.0,401.0,16008.0,97,11
68,,373.0,,1375.0,11360.0,22.0,,,1750.0,202001032000,202001032100,14485.0,1750.0,395.0,14880.0,97,12
69,,373.0,,1373.0,10402.0,21.0,,,1720.0,202001032100,202001032200,13495.0,1720.0,394.0,13889.0,97,12
70,,374.0,,1367.0,9692.0,50.0,,,1713.0,202001032200,202001032300,12772.0,1713.0,424.0,13196.0,97,13
71,,368.0,,1340.0,9436.0,55.0,,,1763.0,202001032300,202001040000,12539.0,1763.0,423.0,12962.0,97,14
72,,371.0,,1330.0,9159.0,56.0,,,1825.0,202001040000,202001040100,12314.0,1825.0,427.0,12741.0,97,14
73,,367.0,,1317.0,9118.0,56.0,,,1887.0,202001040100,202001040200,12322.0,1887.0,423.0,12745.0,97,15
74,,364.0,,1312.0,8710.0,54.0,,,1920.0,202001040200,202001040300,11942.0,1920.0,418.0,12360.0,97,16
75,,369.0,,1308.0,8507.0,54.0,,,1990.0,202001040300,202001040400,11805.0,1990.0,423.0,12228.0,97,16
76,,369.0,,1305.0,8373.0,54.0,,,1989.0,202001040400,202001040500,11667.0,1989.0,423.0,12090.0,97,16
77,,366.0,,1296.0,8400.0,57.0,,,2040.0,202001040500,202001040600,11736.0,2040.0,423.0,12159.0,97,17
78,,367.0,,1295.0,9305.0,58.0,,,2110.0,202001040600,202001040700,12710.0,2110.0,425.0,13135.0,97,16
79,,372.0,,1295.0,10402.0,58.0,,,2104.0,202001040700,202001040800,13801.0,2104.0,430.0,14231.0,97,15
80,,371.0,,1291.0,11292.0,56.0,,,2088.0,202001040800,202001040900,14671.0,2088.0,427.0,15098.0,97,14
81,,374.0,,1286.0,11612.0,54.0,,,2031.0,202001040900,202001041000,14929.0,2031.0,428.0,15357.0,97,13
82,,372.0,,1275.0,11379.0,53.0,,,2016.0,202001041000,202001041100,14670.0,2016.0,425.0,15095.0,97,13
83,,366.0,,1271.0,11368.0,22.0,,,1985.0,202001041100,202001041200,14624.0,1985.0,388.0,15012.0,97,13
84,,375.0,,1267.0,11400.0,21.0,,,1933.0,202001041200,202001041300,14600.0,1933.0,396.0,14996.0,97,13
85,,373.0,,1266.0,11563.0,19.0,,,1875.0,202001041300,202001041400,14704.0,1875.0,392.0,15096.0,97,12
86,,373.0,,1262.0,12265.0,15.0,,,1813.0,202001041400,202001041500,15340.0,1813.0,388.0,15728.0,98,12
87,,373.0,,1260.0,13406.0,13.0,,,1680.0,202001041500,202001041600,16346.0,1680.0,386.0,16732.0,98,10
88,,372.0,,1259.0,13976.0,14.0,,,1526.0,202001041600,202001041700,16761.0,1526.0,386.0,17147.0,98,9
89,,371.0,,1253.0,14648.0,14.0,,,1436.0,202001041700,202001041800,17337.0,1436.0,385.0,17722.0,98,8
90,,367.0,,1249.0,14729.0,14.0,,,1335.0,202001041800,202001041900,17313.0,1335.0,381.0,17694.0,98,8
91,,365.0,,1245.0,14626.0,8.0,,,1290.0,202001041900,202001042000,17161.0,1290.0,373.0,17534.0,98,7
92,,368.0,,1241.0,14683.0,8.0,,,1091.0,202001042000,202001042100,17015.0,1091.0,376.0,17391.0,98,6
93,,372.0,,1237.0,14651.0,8.0,,,1027.0,202001042100,202001042200,16915.0,1027.0,380.0,17295.0,98,6
94,,371.0,,1234.0,14580.0,8.0,,,1035.0,202001042200,202001042300,16849.0,1035.0,379.0,17228.0,98,6
95,,370.0,,1216.0,15156.0,8.0,,,898.0,202001042300,202001050000,17270.0,898.0,378.0,17648.0,98,5
96,,368.0,,1218.0,14534.0,23.0,,,795.0,202001050000,202001050100,16547.0,795.0,391.0,16938.0,98,5
97,,367.0,,1218.0,13885.0,25.0,,,736.0,202001050100,202001050200,15839.0,736.0,392.0,16231.0,98,5
98,,372.0,,1220.0,13499.0,26.0,,,637.0,202001050200,202001050300,15356.0,637.0,398.0,15754.0,97,4
99,,370.0,,1217.0,13345.0,23.0,,,761.0,202001050300,202001050400,15323.0,761.0,393.0,15716.0,97,5
100,,372.0,,1213.0,13338.0,23.0,,,836.0,202001050400,202001050500,15387.0,836.0,395.0,15782.0,97,5
101,,370.0,,1212.0,14050.0,23.0,,,934.0,202001050500,202001050600,16196.0,934.0,393.0,16589.0,98,6
102,,369.0,,1210.0,14912.0,23.0,,,1224.0,202001050600,202001050700,17346.0,1224.0,392.0,17738.0,98,7
103,,369.0,,1216.0,15724.0,21.0,,,1397.0,202001050700,202001050800,18337.0,1397.0,390.0,18727.0,98,7
104,,370.0,,1218.0,16698.0,21.0,,,1608.0,202001050800,202001050900,19524.0,1608.0,391.0,19915.0,98,8
105,,372.0,,1222.0,16745.0,21.0,,,1735.0,202001050900,202001051000,19702.0,1735.0,393.0,20095.0,98,9
106,,368.0,,1225.0,16100.0,21.0,,,1779.0,202001051000,202001051100,19104.0,1779.0,389.0,19493.0,98,9
107,,369.0,,1231.0,16011.0,23.0,,,1763.0,202001051100,202001051200,19005.0,1763.0,392.0,19397.0,98,9
108,,373.0,,1238.0,15762.0,25.0,,,1741.0,202001051200,202001051300,18741.0,1741.0,398.0,19139.0,98,9
109,,370.0,,1246.0,15685.0,25.0,,,1699.0,202001051300,202001051400,18630.0,1699.0,395.0,19025.0,98,9
110,,376.0,,1260.0,15807.0,25.0,,,1705.0,202001051400,202001051500,18772.0,1705.0,401.0,19173.0,98,9
111,,376.0,,1272.0,16214.0,24.0,,,1669.0,202001051500,202001051600,19155.0,1669.0,400.0,19555.0,98,9
112,,378.0,,1285.0,16504.0,23.0,,,1562.0,202001051600,202001051700,19351.0,1562.0,401.0,19752.0,98,8
113,,376.0,,1300.0,16115.0,22.0,,,1369.0,202001051700,202001051800,18784.0,1369.0,398.0,19182.0,98,7
114,,376.0,,1309.0,15448.0,21.0,,,1300.0,202001051800,202001051900,18057.0,1300.0,397.0,18454.0,98,7
115,,375.0,,1314.0,14234.0,21.0,,,1170.0,202001051900,202001052000,16718.0,1170.0,396.0,17114.0,98,7
116,,374.0,,1321.0,13680.0,21.0,,,1309.0,202001052000,202001052100,16310.0,1309.0,395.0,16705.0,98,8
117,,373.0,,1330.0,13132.0,23.0,,,1170.0,202001052100,202001052200,15632.0,1170.0,396.0,16028.0,98,7
118,,374.0,,1331.0,12245.0,24.0,,,1157.0,202001052200,202001052300,14733.0,1157.0,398.0,15131.0,97,8
119,,373.0,,1253.0,11743.0,24.0,,,1075.0,202001052300,202001060000,14071.0,1075.0,397.0,14468.0,97,7
120,,371.0,,1252.0,11357.0,24.0,,,1073.0,202001060000,202001060100,13682.0,1073.0,395.0,14077.0,97,8
121,,374.0,,1246.0,11318.0,24.0,,,1122.0,202001060100,202001060200,13686.0,1122.0,398.0,14084.0,97,8
122,,372.0,,1247.0,10674.0,23.0,,,1264.0,202001060200,202001060300,13185.0,1264.0,395.0,13580.0,97,9
123,,368.0,,1253.0,11113.0,22.0,,,1120.0,202001060300,202001060400,13486.0,1120.0,390.0,13876.0,97,8
124,,367.0,,1256.0,12775.0,22.0,,,925.0,202001060400,202001060500,14956.0,925.0,389.0,15345.0,97,6
125,,370.0,,1258.0,14816.0,21.0,,,963.0,202001060500,202001060600,17037.0,963.0,391.0,17428.0,98,6
126,,367.0,,1293.0,16316.0,22.0,,,895.0,202001060600,202001060700,18504.0,895.0,389.0,18893.0,98,5
127,,368.0,,1309.0,16781.0,22.0,,,931.0,202001060700,202001060800,19021.0,931.0,390.0,19411.0,98,5
128,,365.0,,1320.0,16908.0,22.0,,,1104.0,202001060800,202001060900,19332.0,1104.0,387.0,19719.0,98,6
129,,349.0,,1334.0,17247.0,22.0,,,971.0,202001060900,202001061000,19552.0,971.0,371.0,19923.0,98,5
130,,349.0,,1344.0,17457.0,20.0,,,1047.0,202001061000,202001061100,19848.0,1047.0,369.0,20217.0,98,5
