,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS,Wind_per,Solar_per,Nuclear_per,Hydroelectricity_per,Geothermal_per,Natural Gas_per,Petroleum_per,Coal_per
5769,45.0,433.0,364.0,54.0,0.0,202008280900,202008281000,409.0,0.0,487.0,896.0,46,0,0,0,0,40,0,48,0,0
5770,45.0,433.0,229.0,54.0,1.0,202008281000,202008281100,275.0,1.0,487.0,762.0,36,0,0,0,0,30,0,56,0,0
5771,45.0,434.0,1.0,54.0,0.0,202008281100,202008281200,46.0,0.0,488.0,534.0,9,0,0,0,0,0,0,81,0,0
5772,45.0,432.0,0.0,56.0,1.0,202008281200,202008281300,46.0,1.0,488.0,534.0,9,0,0,0,0,0,0,80,0,0
5773,45.0,433.0,0.0,56.0,1.0,202008281300,202008281400,46.0,1.0,489.0,535.0,9,0,0,0,0,0,0,80,0,0
5774,45.0,433.0,0.0,56.0,0.0,202008281400,202008281500,45.0,0.0,489.0,534.0,8,0,0,0,0,0,0,81,0,0
5775,46.0,433.0,0.0,56.0,0.0,202008281500,202008281600,46.0,0.0,489.0,535.0,9,0,0,0,0,0,0,80,0,0
5776,46.0,433.0,0.0,56.0,0.0,202008281600,202008281700,46.0,0.0,489.0,535.0,9,0,0,0,0,0,0,80,0,0
5777,46.0,431.0,4.0,56.0,0.0,202008281700,202008281800,50.0,0.0,487.0,537.0,9,0,0,0,0,0,0,80,0,0
5778,45.0,306.0,128.0,56.0,1.0,202008281800,202008281900,174.0,1.0,362.0,536.0,32,0,0,0,0,23,0,57,0,0
5779,45.0,201.0,0.0,55.0,5.0,202008281900,202008282000,50.0,5.0,256.0,306.0,16,2,1,0,0,0,0,65,0,0
5780,45.0,193.0,0.0,54.0,5.0,202008282000,202008282100,50.0,5.0,247.0,297.0,17,2,1,0,0,0,0,64,0,0
5781,44.0,183.0,15.0,54.0,4.0,202008282100,202008282200,63.0,4.0,237.0,300.0,21,1,1,0,0,5,0,61,0,0
5782,43.0,183.0,0.0,53.0,9.0,202008282200,202008282300,52.0,9.0,236.0,288.0,18,3,3,0,0,0,0,63,0,0
5783,43.0,182.0,0.0,52.0,18.0,202008282300,202008290000,61.0,18.0,234.0,295.0,21,6,6,0,0,0,0,61,0,0
5784,43.0,183.0,0.0,52.0,19.0,202008290000,202008290100,62.0,19.0,235.0,297.0,21,6,6,0,0,0,0,61,0,0
5785,42.0,182.0,0.0,52.0,17.0,202008290100,202008290200,59.0,17.0,234.0,293.0,20,6,5,0,0,0,0,62,0,0
5786,42.0,184.0,0.0,52.0,18.0,202008290200,202008290300,60.0,18.0,236.0,296.0,20,6,6,0,0,0,0,62,0,0
5787,43.0,193.0,0.0,52.0,21.0,202008290300,202008290400,64.0,21.0,245.0,309.0,21,7,6,0,0,0,0,62,0,0
