,Wind Onshore,startTime,totalRenewable,total,percentRenewable
293,6.0,202001130500,6.0,1020.0,1
294,7.0,202001130600,7.0,1321.0,1
295,8.0,202001130700,8.0,1413.0,1
296,11.0,202001130800,11.0,1398.0,1
297,12.0,202001130900,12.0,1398.0,1
298,10.0,202001131000,10.0,1396.0,1
299,9.0,202001131100,9.0,1394.0,1
300,12.0,202001131200,12.0,1372.0,1
301,8.0,202001131300,8.0,1296.0,1
302,8.0,202001131400,8.0,1372.0,1
303,10.0,202001131500,10.0,1314.0,1
304,8.0,202001131600,8.0,1403.0,1
305,10.0,202001131700,10.0,1316.0,1
306,9.0,202001131800,9.0,1190.0,1
307,9.0,202001131900,9.0,878.0,1
308,7.0,202001132000,7.0,694.0,1
309,6.0,202001132100,6.0,443.0,1
310,6.0,202001132200,6.0,451.0,1
311,9.0,202001132300,9.0,360.0,2
312,10.0,202001140000,10.0,359.0,3
313,11.0,202001140100,11.0,357.0,3
314,11.0,202001140200,11.0,356.0,3
315,9.0,202001140300,9.0,360.0,2
316,10.0,202001140400,10.0,454.0,2
317,11.0,202001140500,11.0,982.0,1
318,12.0,202001140600,12.0,1311.0,1
319,15.0,202001140700,15.0,1349.0,1
320,21.0,202001140800,21.0,1308.0,2
321,30.0,202001140900,30.0,1213.0,2
322,32.0,202001141000,32.0,1286.0,2
323,40.0,202001141100,40.0,1295.0,3
324,43.0,202001141200,43.0,1232.0,3
325,44.0,202001141300,44.0,1284.0,3
326,45.0,202001141400,45.0,1360.0,3
327,46.0,202001141500,46.0,1333.0,3
328,50.0,202001141600,50.0,1238.0,4
329,50.0,202001141700,50.0,1184.0,4
330,50.0,202001141800,50.0,1181.0,4
331,47.0,202001141900,47.0,936.0,5
332,46.0,202001142000,46.0,578.0,8
333,41.0,202001142100,41.0,393.0,10
334,38.0,202001142200,38.0,411.0,9
335,47.0,202001142300,47.0,249.0,19
336,42.0,202001150000,42.0,244.0,17
337,38.0,202001150100,38.0,240.0,16
338,40.0,202001150200,40.0,242.0,17
339,42.0,202001150300,42.0,243.0,17
340,49.0,202001150400,49.0,345.0,14
341,50.0,202001150500,50.0,816.0,6
342,51.0,202001150600,51.0,1103.0,5
343,52.0,202001150700,52.0,1160.0,4
344,52.0,202001150800,52.0,1160.0,4
345,52.0,202001150900,52.0,1160.0,4
346,52.0,202001151000,52.0,1142.0,5
347,52.0,202001151100,52.0,1142.0,5
348,51.0,202001151200,51.0,1141.0,4
349,51.0,202001151300,51.0,1159.0,4
350,51.0,202001151400,51.0,1160.0,4
351,51.0,202001151500,51.0,1161.0,4
352,50.0,202001151600,50.0,1161.0,4
353,49.0,202001151700,49.0,1156.0,4
354,48.0,202001151800,48.0,981.0,5
355,48.0,202001151900,48.0,679.0,7
356,47.0,202001152000,47.0,344.0,14
357,47.0,202001152100,47.0,342.0,14
358,42.0,202001152200,42.0,343.0,12
359,50.0,202001152300,50.0,254.0,20
360,51.0,202001160000,51.0,255.0,20
361,51.0,202001160100,51.0,254.0,20
362,51.0,202001160200,51.0,254.0,20
363,51.0,202001160300,51.0,343.0,15
364,33.0,202001160400,33.0,415.0,8
365,32.0,202001160500,32.0,1068.0,3
366,38.0,202001160600,38.0,1202.0,3
367,35.0,202001160700,35.0,1204.0,3
368,41.0,202001160800,41.0,1174.0,3
369,43.0,202001160900,43.0,1194.0,4
370,43.0,202001161000,43.0,1209.0,4
371,42.0,202001161100,42.0,1208.0,3
372,42.0,202001161200,42.0,1207.0,3
373,39.0,202001161300,39.0,1204.0,3
374,35.0,202001161400,35.0,1255.0,3
375,33.0,202001161500,33.0,1293.0,3
376,32.0,202001161600,32.0,1194.0,3
377,32.0,202001161700,32.0,1190.0,3
378,37.0,202001161800,37.0,1043.0,4
379,34.0,202001161900,34.0,784.0,4
380,31.0,202001162000,31.0,533.0,6
381,26.0,202001162100,26.0,320.0,8
382,27.0,202001162200,27.0,327.0,8
383,24.0,202001162300,24.0,231.0,10
384,20.0,202001170000,20.0,224.0,9
385,14.0,202001170100,14.0,214.0,7
386,14.0,202001170200,14.0,215.0,7
387,12.0,202001170300,12.0,304.0,4
388,11.0,202001170400,11.0,635.0,2
389,12.0,202001170500,12.0,1108.0,1
390,16.0,202001170600,16.0,1247.0,1
391,15.0,202001170700,15.0,1319.0,1
392,20.0,202001170800,20.0,1269.0,2
393,18.0,202001170900,18.0,1266.0,1
394,20.0,202001171000,20.0,1313.0,2
395,22.0,202001171100,22.0,1315.0,2
396,20.0,202001171200,20.0,1275.0,2
397,19.0,202001171300,19.0,1273.0,1
398,19.0,202001171400,19.0,1314.0,1
399,22.0,202001171500,22.0,1298.0,2
