,Solar,startTime,totalRenewable,total,percentRenewable
25465,0.0,202211270100,0.0,7371.0,0
25466,0.0,202211270200,0.0,7213.0,0
25467,0.0,202211270300,0.0,7343.0,0
25468,0.0,202211270400,0.0,7336.0,0
25469,0.0,202211270500,0.0,7549.0,0
25470,11.0,202211270600,11.0,8614.0,0
25471,101.0,202211270700,101.0,8737.0,1
25472,252.0,202211270800,252.0,8950.0,3
25473,405.0,202211270900,405.0,9095.0,4
25474,483.0,202211271000,483.0,9217.0,5
25475,492.0,202211271100,492.0,9216.0,5
25476,471.0,202211271200,471.0,9189.0,5
25477,292.0,202211271300,292.0,9028.0,3
25478,86.0,202211271400,86.0,8817.0,1
25479,7.0,202211271500,7.0,8925.0,0
25480,0.0,202211271600,0.0,9150.0,0
25481,0.0,202211271700,0.0,9077.0,0
25482,0.0,202211271800,0.0,8913.0,0
25483,0.0,202211271900,0.0,8843.0,0
25484,0.0,202211272000,0.0,8793.0,0
25485,0.0,202211272100,0.0,8656.0,0
25486,0.0,202211272200,0.0,8300.0,0
25487,0.0,202211272300,0.0,8902.0,0
25488,0.0,202211280000,0.0,8835.0,0
25489,0.0,202211280100,0.0,7927.0,0
25490,0.0,202211280200,0.0,7861.0,0
25491,0.0,202211280300,0.0,8097.0,0
25492,0.0,202211280400,0.0,9227.0,0
25493,0.0,202211280500,0.0,9877.0,0
25494,4.0,202211280600,4.0,10566.0,0
25495,28.0,202211280700,28.0,10938.0,0
25496,71.0,202211280800,71.0,10824.0,1
25497,112.0,202211280900,112.0,10805.0,1
25498,139.0,202211281000,139.0,10848.0,1
25499,138.0,202211281100,138.0,10799.0,1
25500,112.0,202211281200,112.0,10841.0,1
25501,55.0,202211281300,55.0,10853.0,1
25502,18.0,202211281400,18.0,10962.0,0
25503,3.0,202211281500,3.0,10947.0,0
25504,0.0,202211281600,0.0,11009.0,0
25505,0.0,202211281700,0.0,11002.0,0
25506,0.0,202211281800,0.0,10906.0,0
25507,0.0,202211281900,0.0,10444.0,0
25508,0.0,202211282000,0.0,10445.0,0
25509,0.0,202211282100,0.0,10401.0,0
25510,0.0,202211282200,0.0,9707.0,0
25511,0.0,202211282300,0.0,8781.0,0
25512,0.0,202211290000,0.0,8457.0,0
25513,0.0,202211290100,0.0,8462.0,0
25514,0.0,202211290200,0.0,8452.0,0
25515,0.0,202211290300,0.0,8477.0,0
25516,0.0,202211290400,0.0,9074.0,0
25517,0.0,202211290500,0.0,10457.0,0
25518,4.0,202211290600,4.0,10575.0,0
25519,30.0,202211290700,30.0,10729.0,0
25520,86.0,202211290800,86.0,10716.0,1
25521,145.0,202211290900,145.0,10739.0,1
25522,176.0,202211291000,176.0,10750.0,2
25523,165.0,202211291100,165.0,10723.0,2
25524,110.0,202211291200,110.0,10691.0,1
25525,61.0,202211291300,61.0,10816.0,1
25526,20.0,202211291400,20.0,10694.0,0
25527,3.0,202211291500,3.0,10710.0,0
25528,0.0,202211291600,0.0,10886.0,0
25529,0.0,202211291700,0.0,10735.0,0
25530,0.0,202211291800,0.0,10717.0,0
25531,0.0,202211291900,0.0,10541.0,0
25532,0.0,202211292000,0.0,10418.0,0
25533,0.0,202211292100,0.0,10400.0,0
25534,0.0,202211292200,0.0,10405.0,0
25535,0.0,202211292300,0.0,8920.0,0
25536,0.0,202211300000,0.0,8595.0,0
25537,0.0,202211300100,0.0,8582.0,0
25538,0.0,202211300200,0.0,8582.0,0
25539,0.0,202211300300,0.0,8588.0,0
25540,0.0,202211300400,0.0,9406.0,0
25541,0.0,202211300500,0.0,10601.0,0
25542,10.0,202211300600,10.0,10815.0,0
25543,69.0,202211300700,69.0,11178.0,1
25544,168.0,202211300800,168.0,11166.0,2
25545,255.0,202211300900,255.0,11071.0,2
25546,285.0,202211301000,285.0,11129.0,3
25547,312.0,202211301100,312.0,10969.0,3
25548,227.0,202211301200,227.0,10929.0,2
25549,142.0,202211301300,142.0,11085.0,1
25550,44.0,202211301400,44.0,11070.0,0
25551,6.0,202211301500,6.0,11055.0,0
25552,0.0,202211301600,0.0,11056.0,0
25553,0.0,202211301700,0.0,11139.0,0
25554,0.0,202211301800,0.0,10895.0,0
25555,0.0,202211301900,0.0,10877.0,0
25556,0.0,202211302000,0.0,10863.0,0
25557,0.0,202211302100,0.0,10802.0,0
