group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
139,0.0,5725.5,12621.5,18347.0,202001061900,67478.0,27
140,0.0,5610.75,13350.25,18961.0,202001062000,65193.0,29
141,0.0,5483.5,13914.0,19397.5,202001062100,64621.0,30
142,0.0,5245.25,14355.25,19600.5,202001062200,62342.0,31
143,0.0,5262.25,15509.75,20772.0,202001062300,62656.0,33
144,0.0,5038.75,15649.5,20688.25,202001070000,61527.0,34
145,0.0,4712.5,15964.0,20676.5,202001070100,60363.0,34
146,0.0,4425.75,16331.0,20756.75,202001070200,59839.0,35
147,0.0,4312.25,16339.5,20651.75,202001070300,60794.0,34
148,0.0,4203.0,16114.75,20317.75,202001070400,62825.0,32
149,0.0,3965.25,15811.75,19777.0,202001070500,67751.0,29
150,0.0,3651.25,15169.0,18820.25,202001070600,73030.0,26
151,114.75,3109.5,14434.75,17659.0,202001070700,74813.0,24
152,891.75,2581.75,13548.0,17021.5,202001070800,75105.0,23
153,2008.75,2401.0,12432.25,16842.0,202001070900,75014.0,22
154,2898.0,2731.0,11296.5,16925.5,202001071000,74804.0,23
155,3287.5,3523.75,10479.5,17290.75,202001071100,75019.0,23
156,3052.75,4413.0,10112.0,17577.75,202001071200,74836.0,23
157,2199.25,5103.0,10377.25,17679.5,202001071300,73777.0,24
158,891.5,5474.75,11092.0,17458.25,202001071400,72232.0,24
159,70.5,5667.75,12124.0,17862.25,202001071500,72545.0,25
160,0.0,5794.5,13368.75,19163.25,202001071600,76504.0,25
161,0.0,5878.75,14614.0,20492.75,202001071700,78588.0,26
162,0.0,5916.25,15909.75,21826.0,202001071800,78267.0,28
163,0.0,5940.75,17379.75,23320.5,202001071900,76057.0,31
164,0.0,6000.75,18998.25,24999.0,202001072000,73851.0,34
165,0.0,6111.25,20388.25,26499.5,202001072100,71606.0,37
166,0.0,6142.75,21765.25,27908.0,202001072200,68594.0,41
167,0.0,6432.25,24315.75,30748.0,202001072300,66516.0,46
168,0.0,6449.25,25098.0,31547.25,202001080000,66419.0,47
169,0.0,6457.5,25623.0,32080.5,202001080100,66208.0,48
170,0.0,6456.75,25875.25,32332.0,202001080200,66173.0,49
171,0.0,6479.25,25824.25,32303.5,202001080300,67182.0,48
172,0.0,6505.25,25602.5,32107.75,202001080400,68889.0,47
173,0.0,6452.75,25492.5,31945.25,202001080500,74756.0,43
174,0.0,6373.5,25105.75,31479.25,202001080600,82219.0,38
175,132.5,6174.25,24456.25,30763.0,202001080700,83708.0,37
176,777.0,5825.25,23675.75,30278.0,202001080800,83838.0,36
177,1549.25,5366.25,22682.75,29598.25,202001080900,84297.0,35
178,2065.0,4884.75,21492.75,28442.5,202001081000,83995.0,34
179,2172.0,4335.5,20327.25,26834.75,202001081100,82737.0,32
180,1795.75,3795.75,19024.5,24616.0,202001081200,80152.0,31
181,1172.25,3276.5,17488.0,21936.75,202001081300,77046.0,28
182,473.25,2815.5,16005.0,19293.75,202001081400,74968.0,26
183,41.75,2471.25,14754.0,17267.0,202001081500,72565.0,24
184,0.0,2203.75,13739.0,15942.75,202001081600,72382.0,22
185,0.0,1974.5,12831.0,14805.5,202001081700,72012.0,21
186,0.0,1766.25,11909.5,13675.75,202001081800,71257.0,19
187,0.0,1569.0,10998.0,12567.0,202001081900,67932.0,18
188,0.0,1373.25,10001.75,11375.0,202001082000,63703.0,18
189,0.0,1171.0,9029.25,10200.25,202001082100,60144.0,17
190,0.0,996.0,8362.75,9358.75,202001082200,56048.0,17
191,0.0,936.0,6837.75,7773.75,202001082300,53083.0,15
192,0.0,726.75,6073.0,6799.75,202001090000,50413.0,13
193,0.0,587.25,5807.75,6395.0,202001090100,49034.0,13
194,0.0,537.75,5876.75,6414.5,202001090200,47810.0,13
195,0.0,569.0,6373.75,6942.75,202001090300,48249.0,14
196,0.0,750.0,7493.0,8243.0,202001090400,52363.0,16
197,0.0,1251.75,9061.25,10313.0,202001090500,60128.0,17
198,0.0,2209.75,11011.75,13221.5,202001090600,67915.0,19
199,132.5,3420.75,13575.5,17128.75,202001090700,73440.0,23
200,887.0,4463.0,16373.5,21723.5,202001090800,77998.0,28
201,1902.0,5107.25,18661.25,25670.5,202001090900,80398.0,32
202,2702.25,5416.25,20470.0,28588.5,202001091000,83206.0,34
203,3030.25,5609.75,21957.0,30597.0,202001091100,83874.0,36
204,2803.75,5776.25,22903.5,31483.5,202001091200,82907.0,38
205,1967.0,5885.5,23317.0,31169.5,202001091300,80235.0,39
206,819.0,5950.5,23415.75,30185.25,202001091400,77923.0,39
207,81.25,6010.25,23185.5,29277.0,202001091500,78169.0,37
208,0.0,5904.5,22741.75,28646.25,202001091600,80090.0,36
209,0.0,5692.75,22237.0,27929.75,202001091700,80623.0,35
210,0.0,5316.0,21706.0,27022.0,202001091800,79047.0,34
211,0.0,4893.25,21348.0,26241.25,202001091900,74335.0,35
212,0.0,4606.75,21103.5,25710.25,202001092000,69736.0,37
213,0.0,4231.0,20924.5,25155.5,202001092100,67700.0,37
214,0.0,3795.5,21214.0,25009.5,202001092200,66129.0,38
215,0.0,2827.25,21173.25,24000.5,202001092300,63111.0,38
216,0.0,2345.0,21514.0,23859.0,202001100000,62012.0,38
217,0.0,2202.25,22354.25,24556.5,202001100100,62381.0,39
218,0.0,2225.0,23394.25,25619.25,202001100200,63348.0,40
219,0.0,2422.75,24302.75,26725.5,202001100300,64621.0,41
220,0.0,2882.75,25276.25,28159.0,202001100400,68141.0,41
221,0.0,3442.0,26031.0,29473.0,202001100500,73584.0,40
222,0.0,3986.0,25805.5,29791.5,202001100600,78655.0,38
223,355.25,4660.0,25129.0,30144.25,202001100700,82782.0,36
224,2280.5,5322.5,24497.75,32100.75,202001100800,84102.0,38
225,4593.5,5852.5,24254.0,34700.0,202001100900,85585.0,41
226,6122.75,6117.25,24454.0,36694.0,202001101000,87094.0,42
227,6410.0,6117.75,24944.0,37471.75,202001101100,87226.0,43
228,5407.5,6008.25,25524.75,36940.5,202001101200,84793.0,44
229,3591.75,5907.75,25923.75,35423.25,202001101300,81444.0,43
230,1462.0,5751.25,26042.0,33255.25,202001101400,78314.0,42
231,116.75,5431.0,25521.25,31069.0,202001101500,77678.0,40
232,0.0,4887.25,24396.5,29283.75,202001101600,78660.0,37
233,0.0,4051.75,23083.25,27135.0,202001101700,77022.0,35
234,0.0,3243.25,21774.25,25017.5,202001101800,74692.0,33
235,0.0,2778.0,20400.0,23178.0,202001101900,71445.0,32
236,0.0,2626.75,18838.75,21465.5,202001102000,66167.0,32
237,0.0,2771.5,17231.25,20002.75,202001102100,62937.0,32
238,0.0,2966.5,16054.75,19021.25,202001102200,60533.0,31
239,0.0,2000.0,15098.0,17098.0,202001102300,57952.0,30
240,0.0,2556.0,13922.0,16478.0,202001110000,55784.0,30
241,0.0,3343.75,12727.75,16071.5,202001110100,54120.0,30
242,0.0,4077.0,11659.75,15736.75,202001110200,52783.0,30
243,0.0,4597.5,10611.75,15209.25,202001110300,52084.0,29
244,0.0,5031.25,9919.25,14950.5,202001110400,52061.0,29
245,0.0,5374.0,9618.5,14992.5,202001110500,53073.0,28
246,0.0,5601.0,9578.0,15179.0,202001110600,55310.0,27
247,287.5,5675.25,9801.75,15764.5,202001110700,58429.0,27
248,2230.75,5712.5,10152.25,18095.5,202001110800,64052.0,28
249,4975.5,5754.5,10510.75,21240.75,202001110900,68531.0,31
250,6961.0,5821.25,11018.5,23800.75,202001111000,70674.0,34
251,7767.5,5938.5,11692.25,25398.25,202001111100,72566.0,35
252,7016.75,5974.25,12384.0,25375.0,202001111200,71408.0,36
253,4977.25,6054.0,13191.75,24223.0,202001111300,68564.0,35
254,2218.75,6178.25,14326.0,22723.0,202001111400,66471.0,34
255,244.0,6268.5,15780.0,22292.5,202001111500,66462.0,34
256,0.0,6310.5,17496.0,23806.5,202001111600,71560.0,33
257,0.0,6345.5,19204.5,25550.0,202001111700,74314.0,34
258,0.0,6355.5,20535.0,26890.5,202001111800,73634.0,37
259,0.0,6351.75,21394.25,27746.0,202001111900,69517.0,40
260,0.0,6347.0,21898.75,28245.75,202001112000,67043.0,42
261,0.0,6383.25,22000.25,28383.5,202001112100,65872.0,43
262,0.0,6374.75,22046.0,28420.75,202001112200,63671.0,45
263,0.0,6314.75,23007.0,29321.75,202001112300,63619.0,46
264,0.0,6325.5,23078.5,29404.0,202001120000,62026.0,47
265,0.0,6344.25,23310.25,29654.5,202001120100,61794.0,48
266,0.0,6355.0,23490.0,29845.0,202001120200,62102.0,48
267,0.0,6359.75,23674.5,30034.25,202001120300,62388.0,48
268,0.0,6342.75,23998.5,30341.25,202001120400,63154.0,48
269,0.0,6226.25,24649.75,30876.0,202001120500,64282.0,48
270,0.0,6119.75,25174.0,31293.75,202001120600,66341.0,47
271,385.5,5991.75,25667.0,32044.25,202001120700,68794.0,47
272,2318.0,5850.5,26038.0,34206.5,202001120800,72522.0,47
273,4873.75,5708.25,26086.0,36668.0,202001120900,77249.0,47
274,6793.0,5567.25,25881.75,38242.0,202001121000,80366.0,48
